Country Code,Port Location,Port Name,Port Authority,Address,Phone,Fax,800 Number,Email,Web Site,Latitude,Longitude,UN/LOCODE,Port Type,Port Size,Country
ALB,Durres,Port of Durres,Durres Port Authority,"Kapitenerija e Portit
L Nr 1 Rruga Tregtare
Durres
Albania",355 52 23115,355 52 22028,,apd@san.com.al,,"41° 18' 28"" N","19° 27' 17"" E",ALDRZ,Seaport,Small,
ALB,Vlore,Port of Vlore,Vlore Drejtoria e Portit Detar,Albania,,,,porti-vlore@aul.com.al,,"40° 28' 7"" N","19° 27' 36"" E",ALVOA,Seaport,Small,
DZA,Algiers,Port of Algiers,Entreprise Portuaire d'Alger,"02 Rue d'Angkor
BP 259
Algiers, Gare 259
Algeria",213 21 423614,213 21 423603,,epal@portalger.com.dz,www.portalger.com.dz,"36° 46' 25"" N","3° 4' 2"" E",DZALG,Deepwater Seaport,Large,
DZA,Annaba,Port of Annaba,Entreprise Portuaire de Annaba,"Mole Cigogne
Quai Nord
Annaba 1232 - 23000
Algeria",213 38 86 3143,213 38 86 54 15,,epan@annaba-port.com,www.annaba-port.com,"36° 54' 2"" N","7° 46' 21"" E",DZAAE,Seaport,Medium,
DZA,Arzew,Port of Arzew,Entreprise Portuaire d'Arzew,"BP 46
7 Larbi Tebessi
Arzew 31200
Algeria",213 41 477127,213 41 477985,,,,"35° 51' 17"" N","0° 18' 4"" W",DZAZW,Seaport,Small,
DZA,Arzew El-Djedid,Port of Arzew El-Djedid,,"Arzew El-Djedid
Algeria",,,,,,"35° 49' 8"" N","0° 15' 22"" W",,Seaport,Medium,
DZA,Bejaia,Port of Bejaia,Enreprise Portuaire de Bejaia,"13, avenue des freres Amrani
Bejaia 06000
Algeria",213 34 21 18 07,213 34 20 14 88,,portbj@portdebejaia.dz,www.portdebejaia.com.dz,"36° 45' 0"" N","5° 5' 24"" E",DZBJA,Deepwater Seaport,Large,
DZA,Djen Djen,Port of Djen Djen,Entreprise Portuaire de Djen Djen,"BP 87
Jijel 18000
Algeria",213 034 44 65 64,213 034 44 52 60,,epjdjendjen@wissal.dz,www.djendjen-port.com.dz,"36° 49' 27"" N","5° 53' 24"" E",DZDJE,Seaport,Small,
DZA,Ghazaouet,Port of Ghazaouet,Enterprise Portuaire de Ghazaouet,"BP 217
Ghazaouet 13400
Algeria",213 43 323345,213 43 326255,,,,"35° 6' 14"" N","1° 51' 47"" W",DZGHA,Seaport,Small,
DZA,Mers El Kebir,Port of Mers El Kebir,,"Mers El Kebir
Algeria",,,,,,"35° 43' 25"" N","0° 41' 10"" W",,Seaport,Medium,
DZA,Oran,Port of Oran,Entreprise Portuaire d'Oran,"1 Rue du 20 Aout
Oran 31000
Algeria",213 41 332441,213 41 332498,,,,"35° 42' 44"" N","0° 38' 23"" W",DZORN,Seaport,Medium,
DZA,Port Methanier,Port Methanier,,"Port Methanier
Algeria",,,,,,"36° 53' 11"" N","6° 56' 28"" E",,Seaport,Small,
DZA,Skikda,Port of Skikda,Skikda Port Enterprise,"BP 65
Avenue Rezki Rahal
Skikda 21000
Algeria",213 38 756827,213 38 752015,,info@skikda-port.com,www.skikda-port.com,"36° 53' 15"" N","6° 54' 21"" E",DZSKI,Seaport,Medium,
ASM,Pago-Pago,Port of Pago-Pago,American Samoa Government,"Territory of American Samoa
Pago-Pago 96799
American Samoa",684 633-4251,684 633-5281,,,americansamoa.gov,"14° 16' 27"" S","170° 41' 26"" W",ASPPG,Seaport,Medium,
AGO,Cavuge,Quinfuquena Terminal,,Angola,,,,,,"6° 19' 59"" S","12° 10' 0"" E",AOSOQ,Off-Shore Terminal,Very Small,
AGO,Fouta,Takula Terminal,,Angola,,,,,,"5° 13' 0"" S","11° 46' 59"" E",AOTAK,Off-Shore Terminal,Very Small,
AGO,Futila,Futila Terminal,,"Futila
Angola",,,,,,"5° 27' 0"" S","12° 10' 59"" E",,Off-Shore Terminal,Very Small,
AGO,Lobito,Port of Lobito,"Empresa Portuaria Do Lobito , E.P.","Avenida da Independencia
CP 16
Lobito
Angola",244 722 23439,244 272 222719,,,,"12° 20' 13"" S","13° 34' 15"" E",AOLOB,Deepwater Seaport,Medium,
AGO,Luanda,Porto de Luanda,Administracao do Porto de Luanda,"Largo 4 de Fevereiro
Luanda 1229
Angola",+244 2 335975,,,portoluanda@snet.co.ao,www.otal.com/angola,"8° 47' 2"" S","13° 15' 5"" E",AOLAD,Deepwater Seaport,Medium,
AGO,Malongo,Malongo Terminal,,"Malongo
Angola",,,,,,"5° 27' 34"" S","12° 1' 25"" E",AOMAL,Off-Shore Terminal,Very Small,
AGO,Manga Grande,Lombo Marine Terminal,,Angola,,,,,,"6° 49' 59"" S","12° 22' 0"" E",,Off-Shore Terminal,Very Small,
AGO,Nzeto,Kiabo Marine Terminal,,Angola,,,,,,"7° 19' 59"" S","12° 34' 59"" E",,Off-Shore Terminal,Very Small,
AGO,Nzeto,Kiame Marine Terminal,,"Nzeto
Angola",,,,,,"7° 19' 59"" S","12° 22' 59"" E",,Off-Shore Terminal,Very Small,
AGO,Quinzau,Palanca Terminal	,,Angola,,,,,,"6° 58' 0"" S","12° 24' 0"" E",AOPAT,Off-Shore Terminal,Very Small,
ARG,Buenos Aires,Port of Buenos Aires,Administracion General de Puertos,"Buenos Aires
Argentina",(54) 11 4342-1727,,,institucionales@puertobuenosaires.gov.ar,www.puertobuenosaires.gov.ar,"34° 35' 57"" S","58° 22' 17"" W",ARBUE,Deepwater Seaport,Large,
ARG,Dock Sud,Port of Dock Sud,Administracion Portuaria Bonaerense,"Av. Belgrano NA 2050 (1872)
Avellaneda
Argentina",(0054-11) 42051462,,,puertodock@infovia.com.ar,www.consejoportuario.com.ar,"34° 38' 3"" S","58° 20' 53"" W",,Deepwater Seaport,Large,
ARG,Puerto Nuevo,Terminales Rio de la Plata,,"Av. Ramon Castillo y Av. Comodoro Py
Puerto Nuevo
Argentina",5411 4319-9500,5411 4315-2700,,info@trp.com.ar,www.trp.com.ar,"34° 35' 11"" S","58° 21' 49"" W",,Seaport,Medium,
ARG,Buenos Aires,Port of Buenos Aires,Administracion General de Puertos,"Buenos Aires
Argentina",(54) 11 4342-1727,,,institucionales@puertobuenosaires.gov.ar,www.puertobuenosaires.gov.ar,"34° 35' 57"" S","58° 22' 17"" W",ARBUE,Deepwater Seaport,Large,
ARG,Caleta Olivia,Port of Caleta Olivia,,"Caleta Olivia, Santa Cruz
Argentina",,,,,,"46° 25' 59"" S","67° 30' 48"" W",ARCVI,Off-Shore Terminal,Very Small,
ARG,Cullen,Cullen Oil Terminal,,"Cullen, Tierra del Fuego
Argentina",,,,,,"52° 53' 46"" S","68° 20' 53"" W",,Off-Shore Terminal,Very Small,
ARG,Dock Sud,Port of Dock Sud,Administracion Portuaria Bonaerense,"Av. Belgrano NA 2050 (1872)
Avellaneda
Argentina",(0054-11) 42051462,,,puertodock@infovia.com.ar,www.consejoportuario.com.ar,"34° 38' 3"" S","58° 20' 53"" W",,Deepwater Seaport,Large,
ARG,Puerto Deseado,Port of Puerto Deseado,Deseado de la Provincia del Santa Cruz,"Zona Portuaria S/N
Puerto Deseado, Santa Cruz 9050
Argentina",54 0297-4872234,54 0297-487091466,,pdeseado@pdeseado.com.ar,www.scruz.gov.ar/puertos,"47° 45' 20"" S","65° 54' 23"" W",ARPUD,Seaport,Medium,
ARG,Puerto Galvan,Puerto Galvan,,"Puerto Galvan
Argentina",,,,,,"38° 46' 59"" S","62° 18' 3"" W",ARPGV,Seaport,Small,
ARG,Puerto Ingeniero White,Puerto Ingeniero White,,"Puerto Ingeniero White
Argentina",,,,,,"38° 47' 31"" S","62° 15' 56"" W",,Seaport,Small,
ARG,Puerto Nuevo,Terminales Rio de la Plata,,"Av. Ramon Castillo y Av. Comodoro Py
Puerto Nuevo
Argentina",5411 4319-9500,5411 4315-2700,,info@trp.com.ar,www.trp.com.ar,"34° 35' 11"" S","58° 21' 49"" W",,Seaport,Medium,
ARG,Quequen,Puerto Quequen,Consorcio de Gestion del Puerto de Quequen,"Avenue Juan de Garay 850
Quequen 7631
Argentina",54 02262 450006,54 02262 451453,,webcgpq@puertoquequen.com,www.puertoquequen.com,"38° 34' 32"" S","58° 43' 2"" W",ARQQN,Seaport,Medium,
ARG,Rio Cullen,Rio Cullen Marine Terminal,,"Rio Cullen
Argentina",,,,,,"52° 53' 29"" S","68° 20' 20"" W",,Off-Shore Terminal,Very Small,
ARG,San Sebastian,Port of San Sebastian,,"San Sebastian, Tierra del Fuego
Argentina",,,,,,"53° 18' 42"" S","68° 15' 57"" W",ARSSN,Off-Shore Terminal,Very Small,
ABW,Oranjestad,Port of Oranjestad,Aruba Ports Authority N.V.,"Port Administration Building
L.G. Smith Blvd. # 23
Oranjestad
Aruba",(297) 582-6633,(297) 583-2896,,,www.arubaports.com,"12° 31' 12"" N","70° 2' 31"" W",AWORJ,Deepwater Seaport,Medium,
