Country Code,Port Location,Port Name,Port Authority,Address,Phone,Fax,800 Number,Email,Web Site,Latitude,Longitude,UN/LOCODE,Port Type,Port Size,Country
DZA,Algiers,Port of Algiers,Entreprise Portuaire d'Alger,"02 Rue d'Angkor
BP 259
Algiers, Gare 259
Algeria",213 21 423614,213 21 423603,,epal@portalger.com.dz,www.portalger.com.dz,"36° 46' 25"" N","3° 4' 2"" E",DZALG,Deepwater Seaport,Large,
DZA,Bejaia,Port of Bejaia,Enreprise Portuaire de Bejaia,"13, avenue des freres Amrani
Bejaia 06000
Algeria",213 34 21 18 07,213 34 20 14 88,,portbj@portdebejaia.dz,www.portdebejaia.com.dz,"36° 45' 0"" N","5° 5' 24"" E",DZBJA,Deepwater Seaport,Large,
ARG,Buenos Aires,Port of Buenos Aires,Administracion General de Puertos,"Buenos Aires
Argentina",(54) 11 4342-1727,,,institucionales@puertobuenosaires.gov.ar,www.puertobuenosaires.gov.ar,"34° 35' 57"" S","58° 22' 17"" W",ARBUE,Deepwater Seaport,Large,
ARG,Dock Sud,Port of Dock Sud,Administracion Portuaria Bonaerense,"Av. Belgrano NA 2050 (1872)
Avellaneda
Argentina",(0054-11) 42051462,,,puertodock@infovia.com.ar,www.consejoportuario.com.ar,"34° 38' 3"" S","58° 20' 53"" W",,Deepwater Seaport,Large,
AUS,Brisbane,Port of Brisbane,Port of Brisbane Corporation,"1 Sandpiper Avenue
Locked Bag 1818
Port of Brisbane, Queensland 4178
Australia",61 7 3258 4888,61 7 3258 4703,,info@portbris.com.au,www.portbris.com.au,"27° 22' 57"" S","153° 10' 10"" E",AUBNE,Seaport,Large,
AUS,Melbourne,Port of Melbourne,Port of Melbourne Corporation,"GPO Box 261
Melbourne, Victoria 3001
Australia",+61 3 9628 7555,+61 3 9628 7550,,information@portofmelbourne.com,www.portofmelbourne.com,"37° 49' 58"" S","144° 55' 3"" E",AUMEL,Deepwater Seaport,Very Large,
AUS,Sydney,Port of Sydney,Sydney Ports Corporation,"PO Box 25 Millers Point
Sydney, NSW 2000
Australia",61 2 9296 4999,61 2 9296 4742,,,www.sydneyports.com.au,"33° 51' 44"" S","151° 11' 33"" E",AUSYD,Deepwater Seaport,Large,
AZE,Baku,Port of Baku,Baku International Sea Trade Port,"72 Uzeir Hajibeyov Street
Baku 370010
Azerbaijan",994 12 930268,994 12 933672,,office@bakuseaport.net,bakuseaport.az,"40° 20' 52"" N","49° 52' 35"" E",AZBAK,Seaport,Large,
BEL,Antwerp,Port of Antwerp,Antwerp Port Authority,"Havenhuis  Entrepotkaai 1
Antwerp B-2000
Belgium",+32-3-205 20 11,+32-3-205 20 28,,info@haven.antwerpen.be,www.portofantwerp.be,"51° 17' 52"" N","4° 17' 59"" E",BEANR,Seaport,Very Large,
BEL,Brussels,Port of Brussels,Port de Bruxelles,"Place des Armateurs 6
Bruxelles 1000
Belgium",32 2 420.67.00,32 2 420.69.74,,portdebruxelles@port.irisnet.be,www.portdebruxelles.irisnet.be,"50° 53' 10"" N","4° 23' 16"" E",BEBRU,River Port,Large,
BEL,Ghent,The Port of Ghent,Ghent Port Company AMC,"J. Kennedylaan 32
Ghent B-9042
Belgium",+32/9 251 05 50,+32/9 251 54 06,,info@havengent.be,www.havengent.be,"51° 6' 52"" N","3° 46' 4"" E",BEGNE,River Port,Large,
BRA,Niteroi,Port of Niteroi,,"Avenida Feliciano Sodre, n 215
Niteroi, RJ CEP 24012-030
Brazil",55 21 2718 3182,55 21 2620 7563,,,www.portosrio.gov.br,"22° 52' 45"" S","43° 7' 45"" W",BRNTR,Seaport,Large,
CAN,Halifax,Port of Halifax,Halifax Port Authority,"1215 Marginal Road
Halifax, Nova Scotia B3H 4P8
Canada",902 426-8222,902 426-7335,,,www.portofhalifax.ca,"44° 39' 25"" N","63° 34' 44"" W",CAHAL,Seaport,Large,
CAN,Montreal,Port of Montreal,Montreal Port Authority,"Port of Montreal Building, Wing No. 1
Cite du Havre
Montreal, Quebec H3C 3R5
Canada",(514) 283-7011,(514) 283-0829,,info@port-montreal.com,www.port-montreal.com,"45° 32' 37"" N","73° 31' 45"" W",CAMTR,Seaport,Large,
CAN,Quebec,Port of Quebec,,"150 Dalhousie Street
PO Box 2268
Quebec, Quebec G1K 7P7
Canada",418-648-3640,418-648-4160,,marketing@portquebec.ca,www.portquebec.ca,"46° 48' 21"" N","71° 12' 51"" W",CAQUE,Seaport,Large,
CAN,St Lawrence Seaway,St Lawrence Seaway,St. Lawrence Seaway Management Corporation,"202 Pitt Street
Cornwall, Ontario K6J 3P7
Canada",613-932-5170,613-932-7286,,marketing@seaway.ca,www.seaway.ca,"44° 55' 47"" N","75° 7' 8"" W",CASLW,Waterway Region,Large,
CAN,Vancouver,Port Metro Vancouver,Vancouver Fraser Port Authority,"100 The Pointe
999 Canada Place
Vancouver, British Columbia V6C 3T4
Canada",604-665-9000,604-665-9007,866-284-4271,info@portmetrovancouver.com,www.portmetrovancouver.com,"49° 17' 52"" N","123° 4' 27"" W",CAVAN,Seaport,Large,
CAN,Victoria,Port of Victoria,Transport Canada,"12 Erie St
Victoria, BC V8V 4X5
Canada",250-363-3578,,,,tc.canada.ca/en/marine-transportation/ports-harbours-anchorages/port-victoria,"48° 25' 52"" N","123° 24' 37"" W",CAVIC,Seaport,Large,
CHN,Chiwan,Port of Chiwan,Chiwan Port Authority,"c/o China Ocean Shpg Agency
Gangwan Yi Road, Shekou
Shenzhen, Guangdong 518067
China",86 755 2669 4888,86 755 2669 4297,,,,"22° 28' 26"" N","113° 52' 26"" E",CNCWN,Seaport,Large,
CHN,Dalian,Port of Dalian,Dalian Port Corporation Limited,"1 Gangwan Street
Zhongshan District
Dalian, Liaoning 116004
China",86 411 8262 7147,86 411 8280 7148,,,www.portdalian.com,"38° 56' 1"" N","121° 39' 2"" E",CNDLC,Port Terminal,Large,
CHN,Huadu,Port of Huadu,,"Huadu
China",,,,,www.huaduport.com,"22° 27' 59"" N","113° 53' 7"" E",CNHDU,Seaport,Large,
CHN,Lianyungang,Port of Lianyungang,Lianyungang Port Affairs,"Administration Bureau
99 Zhongshan Dong Road
Lianyungang, Jiangsu 222046
China",86 518 238 2501,86 518 2382906,,,www.lygport.com.cn,"34° 44' 43"" N","119° 24' 48"" E",CNLYG,Seaport,Large,
CHN,Ningbo,Port of Ningbo,Ningbo Port Group Limited,"Port Administration Office
496 Yanjiang Dong Road
Ningbo, Zhejiang 315200
China",86 574 769 5142,86 574 769 5233,,npa_office@nbport.com.cn,www.nbport.com.cn/wps/portal,"29° 52' 0"" N","121° 33' 19"" E",CNNGB,Seaport,Large,
CHN,Qingdao,Port of Qingdao,Qingdao Port Authority,"Port Administration Office
6 Gangqing Road
Qingdao, Shandong 266011
China",86 532 298 2011,86 532 2822878,,president@qdport.com,www.qdport.com,"36° 5' 45"" N","120° 19' 2"" E",CNTAO,Seaport,Large,
CHN,Shanghai,Port of Shanghai,"Shanghai International Port (Group) Co., Ltd.","358 East Daming Road
Shanghai, Shanghai 200080
China",+8621 55333388,+8621 63217936,,contact@portshanghai.com.cn,www.portshanghai.com.cn,"31° 13' 19"" N","121° 29' 22"" E",CNSHA,Seaport,Very Large,
CHN,Shekou,Port of Shekou,"China Merchants Shekou Port Service Co., Ltd.","Gang Wan Yi Lu
Shekou Industrial Zone, Shekou
Shenzhen, Guangdong 518067
China",86 755 2669 1135,86 755 2668 5859,,,,"22° 28' 15"" N","113° 54' 12"" E",CNSHK,Seaport,Large,
CHN,Tianjin,Port of Tianjin,Port of Tianjin Authority,"35 Xingang Road No 2
Tanggu
Tianjin, Heibei 300456
China",86 22 2570 5239,86 22 2570 9747,,wsc@tianjinport.ptacn.com,www.ptacn.com,"39° 0' 34"" N","117° 27' 37"" E",CNTSN,Seaport,Large,
CHN,Xiahai,Port of Xiahai,Xiahai Harbour Administration Bureau,"Administration Office
3 Haibin No 5 Road
Zhanjiang, Guangdong 524003
China",,,,,,"21° 10' 27"" N","110° 24' 38"" E",,Seaport,Large,
CHN,Yantian,Port of Yantian,"Shenzhen Yantian Port Holdings Co.,Ltd","Yantian
China",86 755 8379 7111,86 755 8379 7138,,,www.yantian-port.com,"22° 34' 27"" N","114° 16' 2"" E",CNYTN,Seaport,Large,
COL,Cartagena,Port of Cartagena,Sociedad Portuaria Regional de Cartagena S.A.,"Manga Terminal Maritimo
Cartagena A.A 7954
Colombia",(57) (5) 6608071,(57) (5) 6502239,,,albatros.puertocartagena.com,"10° 24' 12"" N","75° 31' 51"" W",COCTG,Seaport,Large,
CUB,Havana,Port of Havana,Empresa Terminales Mambisas de La Habana,"Havana
Cuba",53 616 655,53 338 111,,,,"23° 7' 57"" N","82° 20' 31"" W",,Seaport,Large,
CUB,Santiago de Cuba,Port of Santiago de Cuba,Empresa Terminales Mambisas del Oriente,"Santiago de Cuba
Cuba",,,,,,"20° 0' 6"" N","75° 51' 38"" W",CUSCU,Seaport,Large,
DNK,Copenhagen,Port of Copenhagen,Copenhagen Malmo Port AB,"Containervej 9
P.O.Box 900
Copenhagen K DK-2100
Denmark",45 35 46 11 11,45 35 46 11 64,,cmport@cmport.com,www.cmport.com,"55° 41' 46"" N","12° 36' 48"" E",DKCPH,Seaport,Large,
EGY,Alexandria,Port of Alexandria,Alexandria Port Authority,"106 El Horria Avenu- Alex Fouad St.
Alex
Alexandria 26514
Egypt",203 4874321,203 4869714,,support@apa.gov.eg,apa.gov.eg,"31° 10' 59"" N","29° 52' 0"" E",,Seaport,Large,
FIN,Helsinki,Port of Helsinki,Port of Helsinki,"Olympiaranta 3
P.O. Box 800
Helsinki FIN-00099
Finland",+358-9-173 331,+358-9-1733 3232,,port.helsinki@hel.fi,www.portofhelsinki.fi,"60° 9' 34"" N","24° 55' 24"" E",FIHEL,Seaport,Large,
FRA,Brest,Port of Brest,CCI de Brest,"Avenue de KIEL
Brest 29200
France",33 2 98 46 87 46,33 2 98 43 24 56,,service.commercial@port.cci-brest.fr,www.brest.port.fr,"48° 22' 50"" N","4° 28' 27"" W",FRBES,Deepwater Seaport,Large,
FRA,Dunkerque,Port of Dunkerque,Port Autonome de Dunkerque,"BP 6534
Terre-Plein Guillain
Dunkerque, Cedex 1 59386
France",00 33 3 28 28 75 91,00 33 3 28 28 75 97,,njuhere@portdedunkerque.fr,www.portdedunkerque.fr,"51° 2' 42"" N","2° 17' 26"" E",FRDKK,Harbor,Large,
FRA,Le Havre,Port of Le Havre,Port Authority of Le Havre,"Terre-Plein de la Barre
B.P. 1413
Le Havre, Cedex 76067
France",33 2 32 74 74 00,33 2 32 74 74 29,,internetpah@havre-port.fr,www.havre-port.net,"49° 28' 1"" N","0° 10' 40"" E",FRLEH,Deepwater Seaport,Large,
FRA,Marseille,Port of Marseille,Marseille Fos Port Authority,"23 place de la Joliette
BP 81965
Marseille, Cedex 2 13226
France",33 4 91 39 40 00,33 4 91 39 57 00,,gpmm@marseille-port.fr,www.marseille-port.fr,"43° 19' 25"" N","5° 21' 8"" E",FRMRS,Seaport,Large,
DEU,Bremerhaven,Port of Bremerhaven,Bremen Port Authority,"Hansestadt Bremisches
Ueberseetor 2
Bremen
Germany",49 421 361 8504,49 421 361 8387,,bremen-port@hbh.bremen.de,www.bremen-ports.de,"53° 33' 49"" N","8° 33' 17"" E",DEBRV,Seaport,Large,
DEU,Duisburg,Port of Duisburg,Duisburger Hafen AG,"Alte Ruhrorter Str. 42 - 52
Duisburg 47119
Germany",49 0 203-803-1,49 0 203-803-232,,mail@duisport.de,www.duisport.de,"51° 26' 59"" N","6° 45' 20"" E",DEDUI,River Port,Large,
DEU,Hamburg,Port of Hamburg,Port Authority of Hamburg,"Mattentwiete 2
Hamburg D - 20457
Germany",+49-40 / 37 709 -0,+49-40/37 709-109,,info@hafen-hamburg.de,www.hafen-hamburg.de,"53° 31' 29"" N","9° 57' 48"" E",DEHAM,Seaport,Very Large,
DEU,Luebeck,Port of Lubeck,Lubecker Hafen-Gesellschaft mbH (LHG),"Hauptverwaltung Postfach 22 35
Luebeck 23510
Germany",+49 (4 51) 79 00,,,martin.schwardt@lhg-online.de,www.lhg-online.de,"53° 52' 58"" N","10° 43' 33"" E",DELBC,Seaport,Large,
GRC,Piraeus,Port of Piraeus,Piraeus Port Authority S. A.,"10 Akti Miaouli
Piraeus 185 38
Greece",210 4550229,210 4550310,,olp@apopsinet.gr,www.olp.gr,"37° 56' 28"" N","23° 38' 2"" E",GRPIR,Seaport,Large,
HKG,Hong Kong,Port of Hong Kong,Marine Department of the Hong Kong Special Administrative Region (SAR),"Harbour Building
38 Pier Road
Hong Kong
Hong Kong",852 2542 3711,852 2541 7194,,mdenquiry@mardep.gov.hk,www.mardep.gov.hk,"22° 19' 16"" N","114° 9' 35"" E",HKHKG,Deepwater Seaport,Very Large,
