index,Country Code,Port Location,Port Name,Latitude,Longitude,UN/LOCODE,Port Type,Port Size,lat_long,details
3,DZA,Algiers,Port of Algiers,36.773611,3.067222,DZALG,Deepwater Seaport,Large,"[36.773611, 3.067222]","Port of Algiers, Deepwater Seaport - Large"
7,DZA,Bejaia,Port of Bejaia,36.75,5.09,DZBJA,Deepwater Seaport,Large,"[36.75, 5.09]","Port of Bejaia, Deepwater Seaport - Large"
30,ARG,Buenos Aires,Port of Buenos Aires,-34.599167,-58.371389,ARBUE,Deepwater Seaport,Large,"[-34.599167, -58.371389]","Port of Buenos Aires, Deepwater Seaport - Large"
36,ARG,Dock Sud,Port of Dock Sud,-34.634167,-58.348056,,Deepwater Seaport,Large,"[-34.634167, -58.348056]","Port of Dock Sud, Deepwater Seaport - Large"
65,AUS,Brisbane,Port of Brisbane,-27.3825,153.169444,AUBNE,Seaport,Large,"[-27.3825, 153.169444]","Port of Brisbane, Seaport - Large"
99,AUS,Melbourne,Port of Melbourne,-37.832778,144.9175,AUMEL,Deepwater Seaport,Very Large,"[-37.832778, 144.9175]","Port of Melbourne, Deepwater Seaport - Very Large"
123,AUS,Sydney,Port of Sydney,-33.862222,151.1925,AUSYD,Deepwater Seaport,Large,"[-33.862222, 151.1925]","Port of Sydney, Deepwater Seaport - Large"
133,AZE,Baku,Port of Baku,40.347778,49.876389,AZBAK,Seaport,Large,"[40.347778, 49.876389]","Port of Baku, Seaport - Large"
141,BEL,Antwerp,Port of Antwerp,51.297778,4.299722,BEANR,Seaport,Very Large,"[51.297778, 4.299722]","Port of Antwerp, Seaport - Very Large"
170,BRA,Niteroi,Port of Niteroi,-22.879167,-43.129167,BRNTR,Seaport,Large,"[-22.879167, -43.129167]","Port of Niteroi, Seaport - Large"
233,CAN,Halifax,Port of Halifax,44.656944,-63.578889,CAHAL,Seaport,Large,"[44.656944, -63.578889]","Port of Halifax, Seaport - Large"
258,CAN,Montreal,Port of Montreal,45.543611,-73.529167,CAMTR,Seaport,Large,"[45.543611, -73.529167]","Port of Montreal, Seaport - Large"
277,CAN,Quebec,Port of Quebec,46.805833,-71.214167,CAQUE,Seaport,Large,"[46.805833, -71.214167]","Port of Quebec, Seaport - Large"
303,CAN,Vancouver,Port Metro Vancouver,49.297778,-123.074167,CAVAN,Seaport,Large,"[49.297778, -123.074167]","Port Metro Vancouver, Seaport - Large"
304,CAN,Victoria,Port of Victoria,48.431111,-123.410278,CAVIC,Seaport,Large,"[48.431111, -123.410278]","Port of Victoria, Seaport - Large"
359,CHN,Chiwan,Port of Chiwan,22.473889,113.873889,CNCWN,Seaport,Large,"[22.473889, 113.873889]","Port of Chiwan, Seaport - Large"
362,CHN,Dalian,Port of Dalian,38.933611,121.650556,CNDLC,Port Terminal,Large,"[38.933611, 121.650556]","Port of Dalian, Port Terminal - Large"
370,CHN,Huadu,Port of Huadu,22.466389,113.885278,CNHDU,Seaport,Large,"[22.466389, 113.885278]","Port of Huadu, Seaport - Large"
377,CHN,Lianyungang,Port of Lianyungang,34.745278,119.413333,CNLYG,Seaport,Large,"[34.745278, 119.413333]","Port of Lianyungang, Seaport - Large"
383,CHN,Ningbo,Port of Ningbo,29.866667,121.555278,CNNGB,Seaport,Large,"[29.866667, 121.555278]","Port of Ningbo, Seaport - Large"
384,CHN,Qingdao,Port of Qingdao,36.095833,120.317222,CNTAO,Seaport,Large,"[36.095833, 120.317222]","Port of Qingdao, Seaport - Large"
389,CHN,Shanghai,Port of Shanghai,31.221944,121.489444,CNSHA,Seaport,Very Large,"[31.221944, 121.489444]","Port of Shanghai, Seaport - Very Large"
