Country Code,Port Location,Port Name,Port Authority,Address,Phone,Fax,800 Number,Email,Web Site,Latitude,Longitude,UN/LOCODE,Port Type,Port Size,Country
DZA,Annaba,Port of Annaba,Entreprise Portuaire de Annaba,"Mole Cigogne
Quai Nord
Annaba 1232 - 23000
Algeria",213 38 86 3143,213 38 86 54 15,,epan@annaba-port.com,www.annaba-port.com,"36° 54' 2"" N","7° 46' 21"" E",DZAAE,Seaport,Medium,
DZA,Arzew El-Djedid,Port of Arzew El-Djedid,,"Arzew El-Djedid
Algeria",,,,,,"35° 49' 8"" N","0° 15' 22"" W",,Seaport,Medium,
DZA,Mers El Kebir,Port of Mers El Kebir,,"Mers El Kebir
Algeria",,,,,,"35° 43' 25"" N","0° 41' 10"" W",,Seaport,Medium,
DZA,Oran,Port of Oran,Entreprise Portuaire d'Oran,"1 Rue du 20 Aout
Oran 31000
Algeria",213 41 332441,213 41 332498,,,,"35° 42' 44"" N","0° 38' 23"" W",DZORN,Seaport,Medium,
DZA,Skikda,Port of Skikda,Skikda Port Enterprise,"BP 65
Avenue Rezki Rahal
Skikda 21000
Algeria",213 38 756827,213 38 752015,,info@skikda-port.com,www.skikda-port.com,"36° 53' 15"" N","6° 54' 21"" E",DZSKI,Seaport,Medium,
ASM,Pago-Pago,Port of Pago-Pago,American Samoa Government,"Territory of American Samoa
Pago-Pago 96799
American Samoa",684 633-4251,684 633-5281,,,americansamoa.gov,"14° 16' 27"" S","170° 41' 26"" W",ASPPG,Seaport,Medium,
AGO,Lobito,Port of Lobito,"Empresa Portuaria Do Lobito , E.P.","Avenida da Independencia
CP 16
Lobito
Angola",244 722 23439,244 272 222719,,,,"12° 20' 13"" S","13° 34' 15"" E",AOLOB,Deepwater Seaport,Medium,
AGO,Luanda,Porto de Luanda,Administracao do Porto de Luanda,"Largo 4 de Fevereiro
Luanda 1229
Angola",+244 2 335975,,,portoluanda@snet.co.ao,www.otal.com/angola,"8° 47' 2"" S","13° 15' 5"" E",AOLAD,Deepwater Seaport,Medium,
ARG,La Plata,Port of La Plata,Consortium of Administration of La Plata Port,Argentina,54 221 460 0203,,,Info@laplataport.com.ar,www.laplataport.com.ar,"34° 51' 19"" S","57° 53' 39"" W",ARLPG,River Port,Medium,
ARG,Puerto Nuevo,Terminales Rio de la Plata,,"Av. Ramon Castillo y Av. Comodoro Py
Puerto Nuevo
Argentina",5411 4319-9500,5411 4315-2700,,info@trp.com.ar,www.trp.com.ar,"34° 35' 11"" S","58° 21' 49"" W",,Seaport,Medium,
