Country Code,Port Location,Port Name,Port Authority,Address,Phone,Fax,800 Number,Email,Web Site,Latitude,Longitude,UN/LOCODE,Port Type,Port Size,Country
ALB,Shengjin,Port of Shengjin,Shengjin Port Authority,"Shengjin
Albania",,,,,,"41° 48' 41"" N","19° 35' 17"" E",ALSHG,Harbor,Small,
DZA,Beni Saf,Port of Beni Saf,Entreprise Portuaire de Beni Saf,"Route du Port
Beni Saf
Algeria",213 43 225468,,,,,"35° 18' 20"" N","1° 23' 28"" W",DZBSF,Harbor,Small,
DZA,Cherchell,Port of Cherchell,,"Cherchell
Algeria",,,,,,"36° 36' 39"" N","2° 11' 23"" E",DZCHE,Harbor,Small,
DZA,Collo,Port of Collo,,"Collo
Algeria",,,,,,"37° 0' 21"" N","6° 34' 12"" E",DZCOL,Harbor,Small,
DZA,Dellys,Port of Dellys,Entreprise Portuaire de Dellys,"Dellys
Algeria",213 21 429377,,,,,"36° 54' 50"" N","3° 55' 2"" E",DZDEL,Harbor,Small,
DZA,Jijel,Port of Jijel,Entreprise Portuaire de Jijel,"BP 87
Jijel
Algeria",213 34 965334,,,,,"36° 49' 22"" N","5° 46' 27"" E",DZDJI,Harbor,Small,
DZA,Mostaganem,Port of Mostaganem,Entreprise Portuaire de Mostaganem,"BP 131
Mostaganem 27000
Algeria",213 45 215938,213 45 217805,,,,"35° 56' 4"" N","0° 4' 26"" E",DZMOS,Harbor,Small,
DZA,Tenes,Port of Tenes,Entreprise Portuaire de Tenes,"BP 18
Tenes 02200
Algeria",213 27 767276,213 27 766589,,asiporttenes@yahoo.fr,,"36° 31' 26"" N","1° 19' 8"" E",DZTEN,Harbor,Small,
AGO,Namibe,Port of Namibe,Empresa Portuaria do Namibe,"CP 16
Namibe
Angola",244 222 390034,244 217 653435,,,www.otal.com/angola,"15° 11' 37"" S","12° 8' 12"" E",AOMSZ,Harbor,Small,
AGO,Soyo,Port of Soyo,Fina Petroleos de Angola,"Soyo
Angola",+244 2 390148,+244 2 391031,,,www.otal.com/angola,"6° 7' 17"" S","12° 19' 21"" E",AOSZA,Harbor,Small,
