Country Code,Port Location,Port Name,Latitude,Longitude,UN/LOCODE,Port Type,Port Size,lat_long,details
ALB,Durres,Port of Durres,41.307778,19.454722,ALDRZ,Seaport,Small,"[41.307778, 19.454722]","Port of Durres, Seaport - Small"
ALB,Sarande,Port of Sarande,39.871944,20.005556,ALSAR,"Pier, Jetty or Wharf",Small,"[39.871944, 20.005556]","Port of Sarande, Pier, Jetty or Wharf - Small"
ALB,Vlore,Port of Vlore,40.468611,19.46,ALVOA,Seaport,Small,"[40.468611, 19.46]","Port of Vlore, Seaport - Small"
DZA,Algiers,Port of Algiers,36.773611,3.067222,DZALG,Deepwater Seaport,Large,"[36.773611, 3.067222]","Port of Algiers, Deepwater Seaport - Large"
DZA,Annaba,Port of Annaba,36.900556,7.7725,DZAAE,Seaport,Medium,"[36.900556, 7.7725]","Port of Annaba, Seaport - Medium"
DZA,Arzew,Port of Arzew,35.854722,-0.301111,DZAZW,Seaport,Small,"[35.854722, -0.301111]","Port of Arzew, Seaport - Small"
DZA,Arzew El-Djedid,Port of Arzew El-Djedid,35.818889,-0.256111,,Seaport,Medium,"[35.818889, -0.256111]","Port of Arzew El-Djedid, Seaport - Medium"
DZA,Bejaia,Port of Bejaia,36.75,5.09,DZBJA,Deepwater Seaport,Large,"[36.75, 5.09]","Port of Bejaia, Deepwater Seaport - Large"
DZA,Djen Djen,Port of Djen Djen,36.824167,5.89,DZDJE,Seaport,Small,"[36.824167, 5.89]","Port of Djen Djen, Seaport - Small"
DZA,Ghazaouet,Port of Ghazaouet,35.103889,-1.863056,DZGHA,Seaport,Small,"[35.103889, -1.863056]","Port of Ghazaouet, Seaport - Small"
DZA,Mers El Kebir,Port of Mers El Kebir,35.723611,-0.686111,,Seaport,Medium,"[35.723611, -0.686111]","Port of Mers El Kebir, Seaport - Medium"
DZA,Oran,Port of Oran,35.712222,-0.639722,DZORN,Seaport,Medium,"[35.712222, -0.639722]","Port of Oran, Seaport - Medium"
DZA,Port Methanier,Port Methanier,36.886389,6.941111,,Seaport,Small,"[36.886389, 6.941111]","Port Methanier, Seaport - Small"
DZA,Skikda,Port of Skikda,36.8875,6.905833,DZSKI,Seaport,Medium,"[36.8875, 6.905833]","Port of Skikda, Seaport - Medium"
ASM,Pago-Pago,Port of Pago-Pago,-14.274167,-170.690556,ASPPG,Seaport,Medium,"[-14.274167, -170.690556]","Port of Pago-Pago, Seaport - Medium"
AGO,Ambriz,Port of Ambriz,-7.833333,13.101111,AOAZZ,"Pier, Jetty or Wharf",Very Small,"[-7.833333, 13.101111]","Port of Ambriz, Pier, Jetty or Wharf - Very Small"
AGO,Cabinda,Port of Cabinda,-5.55,12.194167,AOCAB,"Pier, Jetty or Wharf",Very Small,"[-5.55, 12.194167]","Port of Cabinda, Pier, Jetty or Wharf - Very Small"
AGO,Cavuge,Quinfuquena Terminal,-6.333056,12.166667,AOSOQ,Off-Shore Terminal,Very Small,"[-6.333056, 12.166667]","Quinfuquena Terminal, Off-Shore Terminal - Very Small"
AGO,Fouta,Takula Terminal,-5.216667,11.783056,AOTAK,Off-Shore Terminal,Very Small,"[-5.216667, 11.783056]","Takula Terminal, Off-Shore Terminal - Very Small"
AGO,Futila,Futila Terminal,-5.45,12.183056,,Off-Shore Terminal,Very Small,"[-5.45, 12.183056]","Futila Terminal, Off-Shore Terminal - Very Small"
AGO,Lobito,Port of Lobito,-12.336944,13.570833,AOLOB,Deepwater Seaport,Medium,"[-12.336944, 13.570833]","Port of Lobito, Deepwater Seaport - Medium"
AGO,Luanda,Porto de Luanda,-8.783889,13.251389,AOLAD,Deepwater Seaport,Medium,"[-8.783889, 13.251389]","Porto de Luanda, Deepwater Seaport - Medium"
AGO,Malongo,Malongo Terminal,-5.459444,12.023611,AOMAL,Off-Shore Terminal,Very Small,"[-5.459444, 12.023611]","Malongo Terminal, Off-Shore Terminal - Very Small"
AGO,Malongo,Port of Malongo,-5.396667,12.196389,AOMAL,"Pier, Jetty or Wharf",Very Small,"[-5.396667, 12.196389]","Port of Malongo, Pier, Jetty or Wharf - Very Small"
AGO,Manga Grande,Lombo Marine Terminal,-6.833056,12.366667,,Off-Shore Terminal,Very Small,"[-6.833056, 12.366667]","Lombo Marine Terminal, Off-Shore Terminal - Very Small"
AGO,Nzeto,Kiabo Marine Terminal,-7.333056,12.583056,,Off-Shore Terminal,Very Small,"[-7.333056, 12.583056]","Kiabo Marine Terminal, Off-Shore Terminal - Very Small"
AGO,Nzeto,Kiame Marine Terminal,-7.333056,12.383056,,Off-Shore Terminal,Very Small,"[-7.333056, 12.383056]","Kiame Marine Terminal, Off-Shore Terminal - Very Small"
AGO,Porto Amboim,Port of Porto Amboim,-10.747778,13.734444,AOPBN,"Pier, Jetty or Wharf",Small,"[-10.747778, 13.734444]","Port of Porto Amboim, Pier, Jetty or Wharf - Small"
AGO,Quinzau,Palanca Terminal	,-6.966667,12.4,AOPAT,Off-Shore Terminal,Very Small,"[-6.966667, 12.4]","Palanca Terminal	, Off-Shore Terminal - Very Small"
AIA,The Valley,Port of The Valley,18.197778,-63.093333,AIVAL,"Pier, Jetty or Wharf",Small,"[18.197778, -63.093333]","Port of The Valley, Pier, Jetty or Wharf - Small"
ARG,Buenos Aires,Port of Buenos Aires,-34.599167,-58.371389,ARBUE,Deepwater Seaport,Large,"[-34.599167, -58.371389]","Port of Buenos Aires, Deepwater Seaport - Large"
ARG,Caleta Cordova,Port of Caleta Cordova,-45.750833,-67.369167,,"Pier, Jetty or Wharf",Very Small,"[-45.750833, -67.369167]","Port of Caleta Cordova, Pier, Jetty or Wharf - Very Small"
ARG,Caleta Olivares,Port of Caleta Olivares,-45.765278,-67.371944,,"Pier, Jetty or Wharf",Very Small,"[-45.765278, -67.371944]","Port of Caleta Olivares, Pier, Jetty or Wharf - Very Small"
ARG,Caleta Olivia,Port of Caleta Olivia,-46.433056,-67.513333,ARCVI,Off-Shore Terminal,Very Small,"[-46.433056, -67.513333]","Port of Caleta Olivia, Off-Shore Terminal - Very Small"
ARG,Camarones,Port of Camarones,-44.801111,-65.709167,,"Pier, Jetty or Wharf",Very Small,"[-44.801111, -65.709167]","Port of Camarones, Pier, Jetty or Wharf - Very Small"
ARG,Cullen,Cullen Oil Terminal,-52.896111,-68.348056,,Off-Shore Terminal,Very Small,"[-52.896111, -68.348056]","Cullen Oil Terminal, Off-Shore Terminal - Very Small"
ARG,Dock Sud,Port of Dock Sud,-34.634167,-58.348056,,Deepwater Seaport,Large,"[-34.634167, -58.348056]","Port of Dock Sud, Deepwater Seaport - Large"
ARG,Puerto Deseado,Port of Puerto Deseado,-47.755556,-65.906389,ARPUD,Seaport,Medium,"[-47.755556, -65.906389]","Port of Puerto Deseado, Seaport - Medium"
ARG,Puerto Galvan,Puerto Galvan,-38.783056,-62.300833,ARPGV,Seaport,Small,"[-38.783056, -62.300833]","Puerto Galvan, Seaport - Small"
ARG,Puerto Ingeniero White,Puerto Ingeniero White,-38.791944,-62.265556,,Seaport,Small,"[-38.791944, -62.265556]","Puerto Ingeniero White, Seaport - Small"
ARG,Puerto Madryn,Puerto Madryn,-42.736111,-65.033333,ARPMY,"Pier, Jetty or Wharf",Very Small,"[-42.736111, -65.033333]","Puerto Madryn, Pier, Jetty or Wharf - Very Small"
ARG,Puerto Nuevo,Terminales Rio de la Plata,-34.586389,-58.363611,,Seaport,Medium,"[-34.586389, -58.363611]","Terminales Rio de la Plata, Seaport - Medium"
ARG,Puerto Rosales,Port Coronel Rosales,-38.923889,-62.0725,,"Pier, Jetty or Wharf",Small,"[-38.923889, -62.0725]","Port Coronel Rosales, Pier, Jetty or Wharf - Small"
ARG,Puerto Santa Cruz,Puerto Santa Cruz,-50.019722,-68.52,ARRZA,"Pier, Jetty or Wharf",Very Small,"[-50.019722, -68.52]","Puerto Santa Cruz, Pier, Jetty or Wharf - Very Small"
ARG,Punta Colorada,Punta Colorada,-41.696667,-65.016389,ARPCO,"Pier, Jetty or Wharf",Very Small,"[-41.696667, -65.016389]","Punta Colorada, Pier, Jetty or Wharf - Very Small"
ARG,Punta Loyola,Punta Loyola,-51.611111,-69.009722,ARPLO,"Pier, Jetty or Wharf",Small,"[-51.611111, -69.009722]","Punta Loyola, Pier, Jetty or Wharf - Small"
ARG,Punta Quilla,Port of Punta Quilla,-50.116667,-68.410556,ARPQU,"Pier, Jetty or Wharf",Very Small,"[-50.116667, -68.410556]","Port of Punta Quilla, Pier, Jetty or Wharf - Very Small"
ARG,Quequen,Puerto Quequen,-38.575556,-58.717222,ARQQN,Seaport,Medium,"[-38.575556, -58.717222]","Puerto Quequen, Seaport - Medium"
ARG,Rio Cullen,Rio Cullen Marine Terminal,-52.891389,-68.338889,,Off-Shore Terminal,Very Small,"[-52.891389, -68.338889]","Rio Cullen Marine Terminal, Off-Shore Terminal - Very Small"
ARG,Rio Gallegos,Port of Rio Gallegos,-51.611667,-69.219167,ARRGL,"Pier, Jetty or Wharf",Very Small,"[-51.611667, -69.219167]","Port of Rio Gallegos, Pier, Jetty or Wharf - Very Small"
ARG,San Antonio Oeste,Port of San Antonio Oeste,-40.798056,-64.885278,AROES,"Pier, Jetty or Wharf",Very Small,"[-40.798056, -64.885278]","Port of San Antonio Oeste, Pier, Jetty or Wharf - Very Small"
ARG,San Julian,Port of San Julian,-49.299722,-67.720278,ARULA,"Pier, Jetty or Wharf",Very Small,"[-49.299722, -67.720278]","Port of San Julian, Pier, Jetty or Wharf - Very Small"
ARG,San Sebastian,Port of San Sebastian,-53.311667,-68.265833,ARSSN,Off-Shore Terminal,Very Small,"[-53.311667, -68.265833]","Port of San Sebastian, Off-Shore Terminal - Very Small"
ABW,Oranjestad,Port of Oranjestad,12.52,-70.041944,AWORJ,Deepwater Seaport,Medium,"[12.52, -70.041944]","Port of Oranjestad, Deepwater Seaport - Medium"
AUS,Abbot Point,Port of Abbot Point,-19.8825,148.0775,AUABP,"Pier, Jetty or Wharf",Very Small,"[-19.8825, 148.0775]","Port of Abbot Point, Pier, Jetty or Wharf - Very Small"
AUS,Adelaide,Port of Adelaide,-34.799167,138.5125,AUADL,Seaport,Medium,"[-34.799167, 138.5125]","Port of Adelaide, Seaport - Medium"
AUS,Airlie Island,Port of Airlie Island,-21.323333,115.1675,AUAIR,"Pier, Jetty or Wharf",Very Small,"[-21.323333, 115.1675]","Port of Airlie Island, Pier, Jetty or Wharf - Very Small"
AUS,Albany,Port of Albany,-35.031667,117.888611,AUALH,Deepwater Seaport,Small,"[-35.031667, 117.888611]","Port of Albany, Deepwater Seaport - Small"
AUS,Ardossan,Port of Ardossan,-34.437778,137.919444,AUARD,"Pier, Jetty or Wharf",Very Small,"[-34.437778, 137.919444]","Port of Ardossan, Pier, Jetty or Wharf - Very Small"
AUS,Ballast Head,Port of Ballast Head,-35.757222,137.801667,AUBAH,"Pier, Jetty or Wharf",Very Small,"[-35.757222, 137.801667]","Port of Ballast Head, Pier, Jetty or Wharf - Very Small"
AUS,Barrow Island,Port of Barrow Island,-20.725833,115.473333,AUBWB,"Pier, Jetty or Wharf",Very Small,"[-20.725833, 115.473333]","Port of Barrow Island, Pier, Jetty or Wharf - Very Small"
AUS,Bell Bay,Port of Bell Bay,-41.136944,146.86,AUBEL,Seaport,Small,"[-41.136944, 146.86]","Port of Bell Bay, Seaport - Small"
AUS,Bing Bong,Port of Bing Bong,-15.6275,136.389167,AUBBG,"Pier, Jetty or Wharf",Very Small,"[-15.6275, 136.389167]","Port of Bing Bong, Pier, Jetty or Wharf - Very Small"
AUS,Botany Bay,Port Botany,-33.973056,151.215,AUBTB,Seaport,Medium,"[-33.973056, 151.215]","Port Botany, Seaport - Medium"
AUS,Bowen,Port of Bowen,-20.020833,148.250833,AUZBO,"Pier, Jetty or Wharf",Very Small,"[-20.020833, 148.250833]","Port of Bowen, Pier, Jetty or Wharf - Very Small"
AUS,Brisbane,Port of Brisbane,-27.3825,153.169444,AUBNE,Seaport,Large,"[-27.3825, 153.169444]","Port of Brisbane, Seaport - Large"
AUS,Broome,Port of Broome,-18.0025,122.214444,AUBME,"Pier, Jetty or Wharf",Very Small,"[-18.0025, 122.214444]","Port of Broome, Pier, Jetty or Wharf - Very Small"
AUS,Bunbury,Port of Bunbury,-33.315278,115.651944,AUBUY,Seaport,Small,"[-33.315278, 115.651944]","Port of Bunbury, Seaport - Small"
AUS,Bundaberg,Port of Bundaberg,-24.767222,152.391389,AUBDB,Seaport,Small,"[-24.767222, 152.391389]","Port of Bundaberg, Seaport - Small"
AUS,Burketown,Port of Burketown,-17.553611,139.740556,,"Pier, Jetty or Wharf",Very Small,"[-17.553611, 139.740556]","Port of Burketown, Pier, Jetty or Wharf - Very Small"
AUS,Busselton,Port of Busselton,-33.637778,115.340278,AUBUS,"Pier, Jetty or Wharf",Very Small,"[-33.637778, 115.340278]","Port of Busselton, Pier, Jetty or Wharf - Very Small"
AUS,Cairns,Cairns Seaport,-16.929722,145.780556,AUCNS,Seaport,Small,"[-16.929722, 145.780556]","Cairns Seaport, Seaport - Small"
AUS,Cape Cuvier,Port of Cape Cuvier,-24.221944,113.395,AUCCU,"Pier, Jetty or Wharf",Very Small,"[-24.221944, 113.395]","Port of Cape Cuvier, Pier, Jetty or Wharf - Very Small"
AUS,Cape Flattery,Port of Cape Flattery,-14.984167,145.352778,AUCQP,"Pier, Jetty or Wharf",Very Small,"[-14.984167, 145.352778]","Port of Cape Flattery, Pier, Jetty or Wharf - Very Small"
AUS,Catherine Hill Bay,Port of Catherine Hill Bay,-33.16,151.631944,AUCHB,"Pier, Jetty or Wharf",Very Small,"[-33.16, 151.631944]","Port of Catherine Hill Bay, Pier, Jetty or Wharf - Very Small"
AUS,Cooktown,Port of Cooktown,-15.459722,145.249722,,"Pier, Jetty or Wharf",Very Small,"[-15.459722, 145.249722]","Port of Cooktown, Pier, Jetty or Wharf - Very Small"
AUS,Crib Point,Port of Crib Point,-38.3625,145.226944,,"Pier, Jetty or Wharf",Very Small,"[-38.3625, 145.226944]","Port of Crib Point, Pier, Jetty or Wharf - Very Small"
AUS,Currie,Port of Currie,-39.925833,143.841111,,"Pier, Jetty or Wharf",Very Small,"[-39.925833, 143.841111]","Port of Currie, Pier, Jetty or Wharf - Very Small"
AUS,Dampier,Port of Dampier,-20.646667,116.695,AUDAM,"Pier, Jetty or Wharf",Very Small,"[-20.646667, 116.695]","Port of Dampier, Pier, Jetty or Wharf - Very Small"
AUS,Darwin,Port of Darwin,-12.470278,130.857778,AUDRW,Seaport,Medium,"[-12.470278, 130.857778]","Port of Darwin, Seaport - Medium"
AUS,Derby,Port of Derby,-17.292222,123.608056,,"Pier, Jetty or Wharf",Very Small,"[-17.292222, 123.608056]","Port of Derby, Pier, Jetty or Wharf - Very Small"
AUS,Dover,Dover Harbor,-43.318611,147.0225,,"Pier, Jetty or Wharf",Very Small,"[-43.318611, 147.0225]","Dover Harbor, Pier, Jetty or Wharf - Very Small"
AUS,Eden,Port of Eden,-37.071944,149.908333,AUQDN,Off-Shore Terminal,Small,"[-37.071944, 149.908333]","Port of Eden, Off-Shore Terminal - Small"
AUS,Esperance,Esperance Port Authority,-33.871944,121.899167,AUEPR,Seaport,Small,"[-33.871944, 121.899167]","Esperance Port Authority, Seaport - Small"
AUS,Finucane Island,Port of Finucane Island,-20.310833,118.564722,,Seaport,Medium,"[-20.310833, 118.564722]","Port of Finucane Island, Seaport - Medium"
AUS,Fisherman Islands,Port of Fisherman Islands,-27.444722,153.074722,AUFIS,Seaport,Small,"[-27.444722, 153.074722]","Port of Fisherman Islands, Seaport - Small"
AUS,Fremantle,Fremantle Port,-32.0475,115.740833,AUFRE,Seaport,Medium,"[-32.0475, 115.740833]","Fremantle Port, Seaport - Medium"
AUS,Geelong,Port of Geelong,-38.126667,144.389722,AUGEX,Seaport,Medium,"[-38.126667, 144.389722]","Port of Geelong, Seaport - Medium"
AUS,Geraldton,Port of Geraldton,-28.772778,114.601111,AUGET,Seaport,Small,"[-28.772778, 114.601111]","Port of Geraldton, Seaport - Small"
AUS,Gladstone,Port of Gladstone,-23.83,151.252778,AUGLT,Seaport,Medium,"[-23.83, 151.252778]","Port of Gladstone, Seaport - Medium"
AUS,Hastings,Port of Hastings,-38.306667,145.226667,AUHAS,Seaport,Small,"[-38.306667, 145.226667]","Port of Hastings, Seaport - Small"
AUS,Hay Point,Port of Hay Point,-21.268333,149.301111,,"Pier, Jetty or Wharf",Small,"[-21.268333, 149.301111]","Port of Hay Point, Pier, Jetty or Wharf - Small"
AUS,Kingscote,Port of Kingscote,-35.655,137.643056,AUKGC,"Pier, Jetty or Wharf",Very Small,"[-35.655, 137.643056]","Port of Kingscote, Pier, Jetty or Wharf - Very Small"
