index_x,Country Code,Port Location,Port Name,Port Authority,Address,Phone,Fax,800 Number,Email,Web Site,Latitude,Longitude,UN/LOCODE,Port Type,Port Size,index_y,Country
0,ALB,Durres,Port of Durres,Durres Port Authority,"Kapitenerija e Portit
L Nr 1 Rruga Tregtare
Durres
Albania",355 52 23115,355 52 22028,,apd@san.com.al,,"41° 18' 28"" N","19° 27' 17"" E",ALDRZ,Seaport,Small,,
1,ALB,Sarande,Port of Sarande,Sarande Port Authority,"Port Office
Sarande Port
Sarande
Albania",355 85 25827,355 85 25827,,,,"39° 52' 19"" N","20° 0' 20"" E",ALSAR,"Pier, Jetty or Wharf",Small,,
2,ALB,Shengjin,Port of Shengjin,Shengjin Port Authority,"Shengjin
Albania",,,,,,"41° 48' 41"" N","19° 35' 17"" E",ALSHG,Harbor,Small,,
3,ALB,Vlore,Port of Vlore,Vlore Drejtoria e Portit Detar,Albania,,,,porti-vlore@aul.com.al,,"40° 28' 7"" N","19° 27' 36"" E",ALVOA,Seaport,Small,,
6,DZA,Arzew,Port of Arzew,Entreprise Portuaire d'Arzew,"BP 46
7 Larbi Tebessi
Arzew 31200
Algeria",213 41 477127,213 41 477985,,,,"35° 51' 17"" N","0° 18' 4"" W",DZAZW,Seaport,Small,,
9,DZA,Beni Saf,Port of Beni Saf,Entreprise Portuaire de Beni Saf,"Route du Port
Beni Saf
Algeria",213 43 225468,,,,,"35° 18' 20"" N","1° 23' 28"" W",DZBSF,Harbor,Small,,
10,DZA,Cherchell,Port of Cherchell,,"Cherchell
Algeria",,,,,,"36° 36' 39"" N","2° 11' 23"" E",DZCHE,Harbor,Small,,
11,DZA,Collo,Port of Collo,,"Collo
Algeria",,,,,,"37° 0' 21"" N","6° 34' 12"" E",DZCOL,Harbor,Small,,
12,DZA,Dellys,Port of Dellys,Entreprise Portuaire de Dellys,"Dellys
Algeria",213 21 429377,,,,,"36° 54' 50"" N","3° 55' 2"" E",DZDEL,Harbor,Small,,
13,DZA,Djen Djen,Port of Djen Djen,Entreprise Portuaire de Djen Djen,"BP 87
Jijel 18000
Algeria",213 034 44 65 64,213 034 44 52 60,,epjdjendjen@wissal.dz,www.djendjen-port.com.dz,"36° 49' 27"" N","5° 53' 24"" E",DZDJE,Seaport,Small,,
